	가게	주소	테마
1264	원당골	제주특별자치도 제주시 원당로 72	"#토종닭 #한방오리 #백숙
#샤브샤브 #음식 #오리한마리 #오리고기"
1265	원더먼트제주	제주특별자치도 제주시 조천읍 신북로 163	"#카페 #밀크티 #홍차
#브런치 #음식 #디저트 #아메리카노"
1266	원조마라도짜장면	제주특별자치도 서귀포시 대정읍 마라로101번길 46	"#중식 #자장면 #톳
#짬뽕 #음식 #해물짬뽕 #탕수육"
1267	원항아리칼국수보쌈	제주특별자치도 제주시 복지로1길 11	"#냉콩칼국수 #수제만두 #빙떡
#음식 #보쌈 #칼국수 #닭칼국수 #해물칼국수"
1268	월령203	제주특별자치도 제주시 한림읍 한림로 16-3	"#닭개장칼국수 #돼지불백 #뚝배기닭매운찜
#돈까스모밀 #마라딱새우 #음식 #돼지구이 #오겹살 #삼겹살 #갈비 #된장찌개 #김치찌개 #목살 #칼국수"
1269	월정리LOWA	제주특별자치도 제주시 구좌읍 해맞이해안로 472	"#월정리해수욕장 #월정리카페 #커피
#음료 #빵 #음식 #베이커리"
1270	월정해녀식당	제주특별자치도 제주시 구좌읍 해맞이해안로 434	"#월정리 #전복해물뚝배기 #갈치조림
#음식 #식당"
1271	웰덤대게고로케 올레시장점	제주특별자치도 서귀포시 중정로73번길 13	"#대게 #고로케 #서귀포
#올레시장 #간식 #음식 #식당"
1272	위더스트래블	제주특별자치도 제주시 인다9길 29	"#카페 #브런치카페 #위더스풀블랙퍼스트
#에그메네딕트 #음식 #브런치 #샌드위치 #아메리카노 #와플"
1273	위미항활어회센터	제주특별자치도 서귀포시 남원읍 위미중앙로196번길 6-37	"#활어회 #회덮밥 #회국수
#매운탕 #지리 #음식 #물회 #회 #갈치회 #고등어회 #광어회 #전복물회 #방어회 #도미지리 #전복죽 #방어"
1274	윈드스톤	제주특별자치도 제주시 애월읍 광성로 272	"#북카페 #광령 #아몬드라떼
#음식 #카페"
1275	윌라라	제주특별자치도 서귀포시 성산읍 성산중앙로 33	"#피쉬앤칩스 #맥주 #음식
#브런치 #감자튀김 #새우튀김"
1276	유기농커피 카페다	제주특별자치도 제주시 조천읍 신촌북3길 4-7	"#카페 #커피 #드립커피
#음식 #카페라떼 #카푸치노 #에이드 #핸드드립커피 #빵 #아메리카노"
1277	유끼네	제주특별자치도 서귀포시 표선면 성읍정의현로136번길 5-8	"#카페 #커피 #미트파이
#감귤파이 #음식 #아메리카노 #에이드"
1278	유나카페	서귀포시 남원읍 공천포로 81	"#카페 #커피 #생과일주스
#감귝샐러드 #음식 #보말칼국수 #허니브레드 #자몽에이드 #치즈돈까스 #칼국수"
1279	유메야마	제주특별자치도 제주시 노연로 12	"#부모 #커플 #휴식/힐링
#음식 #스시 #초밥 #우동 #규동 #장어덮밥 #연어덮밥 #식당"
1280	유심이감성찜닭	제주특별자치도 제주시 추자면 추자로 78	"#추자찜닭 #추자닭도리탕 #추자음식점
#추자식당 #추자백숙 #추자도 #음식 #닭볶음탕 #찜닭 #닭도리탕 #삼계탕 #백숙 #갈비찜 #식당"
1281	육갑봉	제주특별자치도 제주시 신설로11길 2-9	"#갈비찜 #갈비탕 #열무국수
#불고기 #돼지고기 #음식"
1282	육값하네식육가든	제주특별자치도 서귀포시 남원읍 남조로 141	"#흑돼지 #숯불구이 #목살
#음식 #오겹살 #흑돼지구이 #돼지구이"
1283	윤옥	제주특별자치도 제주시 구남동2길 19-4	"#라멘 #제주시라멘 #자가제면
#음식 #식당"
1284	으뜨미	제주특별자치도 제주시 구좌읍 중산간동로 2287	"#송당리 #우럭 #해물뚝배기
#음식 #식당"
1285	은혜전복	제주특별자치도 제주시 애월읍 애월로1길 24-3	"#전복죽 #전복구이 #한식
#전복찜 #음식 #전복 #전복해물탕 #전복뚝배기 #전복버터구이 #전복물회 #전복갈비탕"
1286	은희네해장국 외도점	제주특별자치도 제주시 우정로15길 42-8	"#소고기해장국 #소고기내장탕 #이호테우
#음식 #식당"
1287	이가전복	제주특별자치도 제주시 무근성길 6	"#전복구이 #성게미역국 #옥돔구이
#전복돌솥밥 #음식 #전복 #전복죽 #전복뚝배기 #전복버터구이"
1288	이게밥도둑	제주특별자치도 제주시 삼무로7길 23	"#간장게장 #대하장 #한식
#음식 #오겹살 #새우장"
1289	이노우에스시	제주특별자치도 제주시 과원로 78-1	"#일식 #스시 #초밥
#오마카세 #음식 #회 #장어덮밥"
1290	이돈갓시청점	제주특별자치도 제주시 광양14길 9	"#일식 #우동 #나베
#돈까스 #히레까스 #로스까스 #음식"
1291	이런날N	제주특별자치도 제주시 구좌읍 한동북1길 60 A동 2층	"#커피 #브런치 #빙수
#파스타 #음식 #해물파스타 #크림파스타 #피자 #화덕피자 #고르곤졸라화덕피자 #돈가스"
1292	이맛	제주특별자치도 제주시 추자면 추자로 24-5	"#추자샤브샤브 #추자해물칼국수 #추자음식점
#추자식당 #추자도 #음식 #순두부찌개 #오징어덮밥 #제육덮밥 #국밥 #식당 #칼국수"
1293	이스트포레스트	제주특별자치도 제주시 구좌읍 종달로1길 26-1	"#브런치 #양식 #종달리맛집
#구좌맛집 #카페 #와인 #음료 #커피 #음식 #식당"
1294	이오리	제주특별자치도 제주시 도리로 53	"#생구이 #들깨수제비 #오리탕
#한식 #음식 #오리고기 #오리한마리 #정식"
1295	이익새양과점	제주특별자치도 제주시 한림읍 명월성로 16	"#파운드케이크 #밀크티 #음식
#녹차파운드 #초코파운드 #빵 #케이크"
1296	이조은식당	제주특별자치도 서귀포시 천제연로 97	"#향토음식 #갈치정식 #해물뚝배기
#전복회 #전복죽 #음식 #전복해물탕 #전복뚝배기 #전복버터구이 #전복갈비탕 #오분작뚝배기"
1297	이찌마루	제주특별자치도 제주시 구좌읍 월정1길 54-11	"#라멘 #일식 #돈코츠라멘
#주먹밥 #음식"
1298	인그리드	제주특별자치도 제주시 서해안로 64	"#이호해수욕장 #아메리카노 #얼그레이
#음식 #카페"
1299	인디안썸머애월	제주특별자치도 제주시 애월읍 애월로4길 9	"#애월 #펍 #카페
#음식"
1300	인쌩맥주 노형오거리점	제주특별자치도 제주시 다랑곶1길 9 1층	"#맥주 #안주 #제주호프
#노형동술집 #음식 #식당"
1301	인카페온더비치	제주특별자치도 제주시 구좌읍 해맞이해안로 943	"#한동 #불멍 #바베큐
#캠핑 #음식 #식당 #아메리카노 #카페라떼"
1302	인풍감자탕	제주특별자치도 제주시 만덕로 36	"#감자탕 #육개장 #한식
#음식 #대패삼겹살 #뼈다귀감자탕"
1303	일도국수	제주특별자치도 제주시 삼성로 49	"#국수 #24시간식당 #아침식사
#고기국수 #음식 #식당"
1304	일오삼가든	제주특별자치도 제주시 진남로8길 13	"#김치찌개 #된장찌개 #한식
#음식 #흑돼지 #흑돼지구이 #오겹살"
1305	일출왕뚝배기	제주특별자치도 서귀포시 성산읍 일출로 247	"#해산물뚝배기 #고등어구이 #갈치조림
#성게국 #한식 #음식 #갈치 #전복"
1306	일탈흑돼지	제주특별자치도 서귀포시 성산읍 성산등용로 78	"#퓨전음식 #해산물 #흑돼지
#음식 #문어숙회 #돼지구이 #흑돼지구이 #카레 #우동 #돈까스 #돈가스"
1307	일품순두부 연동점	제주특별자치도 제주시 도령로 64	"#순두부찌개 #제주연동맛집 #음식
#식당"
1308	일품순두부 하귀점	제주특별자치도 제주시 애월읍 하귀9길 18	"#순두부 #순두부찌개 #애월읍맛집
#아침식사 #음식 #식당"
1309	일품순두부삼화점	제주특별자치도 제주시 삼봉로2길 54	"#삼화 #순두부요리 #전골요리
#음식 #식당"
1310	일품순두부탑동점	제주특별자치도 제주시 탑동로 33	"#탑동 #순두부요리 #전골요리
#음식 #식당"
1311	일품순두부함덕점	제주특별자치도 제주시 삼봉로2길 54	"#함덕 #순두부요리 #전골요리
#음식 #식당"
1312	임순이네	제주특별자치도 제주시 애월읍 곽지1길 26-7	"#곽지 #제주몸국 #고사리육개장
#음식 #식당"
1313	잇칸시타	제주특별자치도 제주시 애월읍 신엄안2길 54-1	"#커플 #친구 #아이
#혼자 #음식 #애월 #일본가정식 #연어사시미 #사케동 #식당"
1314	자리돔횟집	제주특별자치도 서귀포시 동홍동로 7	"#활어회 #해물뚝배기 #조림
#고등어회 #횟집 #음식 #회"
1315	자매국수 본점	제주특별자치도 제주시 탑동로11길 6	"#고기국수 #비빔국수 #돔베고기
#구제주 #음식 #식당"
1316	자연으로	제주특별자치도 서귀포시 성산읍 중산간동로 4217	"#부모 #휴식/힐링 #채식주의
#음식 #간장게장 #돔베고기 #고등어구이 #정식 #수육"
1317	잔디가미	제주특별자치도 제주시 우도면 우도해안길 912	"#빵집 #아이스크림 #땅콩빵
#초콜릿 #음식 #빵 #우도 #아메리카노"
1318	잔물결	제주특별자치도 제주시 한림읍 금능길 58-1	"#커피 #금능해수욕장 #제주카페
#고택 #음식 #카페"
1319	장수해장국	제주특별자치도 서귀포시 신서귀로51번길 11	"#해장국 #순대국 #순두부찌개
#서귀포맛집 #음식 #식당"
1320	장인의집	제주특별자치도 제주시 애월읍 애월로19길 31	"#만두전골 #만두 #해물
#버섯 #애월맛집 #음식 #식당"
1321	장춘육당	제주특별자치도 제주시 연동 신대로 10길 36 장춘식당	"#전복어 #활고등어 #돔베고기
#옥돔구이 #향토국 #한식 #향토음식 #우수관광사업체 #음식 #전복 #흑돼지"
1322	재게재게옵서 카페	제주특별자치도 제주시 한림읍 비양도길 32-3	"#카페 #커피 #더치커피
#라면 #음식 #아메리카노 #에이드 #카페라떼"
1323	전망대횟집	제주특별자치도 제주시 한림읍 한림해안로 229-14	"#부모 #커플 #혼자
#친구 #물회 #음식 #방어 #회 #갈치회 #고등어회 #한치회 #방어회 #한치물회 #전복물회 #식당 #한치"
1324	절물자연휴양림휴게소	제주특별자치도 제주시 명림로 584	"#절물자연휴양림 #휴게소 #매점
#음식 #식당"
1325	정가네 밥상	제주특별자치도 제주시 아란서길 110	"#한정식 #제철음식 #음식
#굴비정식 #불고기 #흑돼지"
1326	정순화손두부	제주특별자치도 제주시 조천읍 일주동로 1415	"#두부 #두부전골 #두부정식
#한식 #음식 #두부두루치기 #청국장 #갈비찜 #비지찌개"
1327	제갈양 제주협재점	제주특별자치도 제주시 한림읍 한림로 155	"#협재 #갈치요리 #조림요리
#음식 #식당"
1328	제니의 정원	제주특별자치도 제주시 연삼로 17	"#카페 #브런치 #찹스테이크
#음식 #치킨샐러드 #리코타치즈샐러드 #파스타 #미트볼파스타 #스파게티 #리조또 #아메리카노"
1329	제니의정원	제주특별자치도 제주시 명주길 26-12	"#정원 #제주공항 #브런치
#음식 #카페"
1330	제레미	제주특별자치도 제주시 애월읍 애월로 106-1	"#커피 #핸드드립 #애월카페
#음식 #카페"
1331	제리스펍	제주특별자치도 서귀포시 솔동산로 20	"#수제맥주 #수입맥주 #보드게임
#스포츠경기관람 #펍 #음식 #피자 #치킨 #나쵸칩 #홍합스튜"
1332	제일식당	제주특별자치도 제주시 추자면 추자로 16-2	"#추자도 #회 #삼치회
#자연산 #음식 #해산물 #광어회 #모듬회"
1333	제주 핫팟	제주특별자치도 제주시 노연로 12	"#커플 #부모 #휴식/힐링
#카페 #음식 #식당 #마라탕 #중식"
1334	제주관덕정분식	제주특별자치도 제주시 관덕로8길 7-9	"#동문시장 #구제주 #모닥치기
#분식 #음식 #식당"
1335	제주광어씨푸드레스토랑 표선점	제주특별자치도 서귀포시 표선면 표선당포로 7	"#광어 #돌광어 #광어회
#초밥 #음식"
1336	제주광해 애월	제주특별자치도 제주시 애월읍 애월해안로 867 2층	"#갈치조림 #고등어조림 #애월맛집
#음식 #식당"
1337	제주그림카페	제주특별자치도 서귀포시 안덕면 녹차분재로 218 4층	"#카페 #안덕 #항공우주박물관
#그림 #인스타 #음식 #아메리카노 #에이드 #레몬에이드 #차 #바닐라라떼 #카페라떼 #에스프레소 #식당"
1338	제주기사정식뷔페	제주특별자치도 제주시 공설로 23	"#로컬 #기사식당 #뷔페
#백반 #한식 #음식 #식당"
1339	제주기정떡	제주특별자치도 제주시 애월읍 평화로 2747	"#기정떡 #증편 #떡
#음식"
1340	제주담	제주특별자치도 제주시 구좌읍 비자림로 1575	"#바지락회무침 #두부바지락전골 #바지락칼국수
#음식 #칼국수"
1341	제주돌담촌	제주특별자치도 제주시 도남로 134	"#돼지고기 #소고기 #닭고기
#음식 #돼지구이 #오겹살 #삼겹살 #갈비 #된장찌개 #김치찌개 #목살 #순두부찌개 #불고기"
1342	제주돌창고	제주특별자치도 제주시 한경면 조수7길 8	"#휴식/힐링 #부모 #커플
#친구 #아이 #카페 #음식 #차 #떡 #에이드 #팥빙수 #아메리카노 #에스프레소 #식당"
1343	제주맛촌본점	제주특별자치도 제주시 서해안로 546	"#갈치 #고등어 #흑돼지
#갈치조림 #음식 #한우구이 #갈비 #오겹살 #삼겹살 #항정살 #가브리살 #돼지구이"
1344	제주머슴네	제주특별자치도 제주시 한림읍 옹포2길 8	"#협재 #전복김밥 #흑돼지꼬치구이
#음식 #식당"
1345	제주복돈	제주특별자치도 제주시 1100로 3164	"#오겹살 #목살 #양념갈비
#음식 #흑돼지구이 #돼지구이 #삼겹살 #고등어 #갈비탕"
1346	제주본초협동조합	제주특별자치도 제주시 한경면 고산로2길 22-13	"#술 #전통주 #흑돈주
#흑돼지 #음식"
1347	제주분식	제주특별자치도 제주시 귀아랑길 23	"#분식 #모닥치기 #제주해물라면
#음식 #떡볶이 #김밥 #해물라면 #돈까스 #라면 #식당"
1348	제주샘주 영농협동조합	제주특별자치도 제주시 애월읍 애원로 283	"#술 #오메기술 #고소리술
#칵테일만들기 체험 #토속주 #니모메술 #세우리술 #음식"
1349	제주선 더블랙	제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 제주신화월드 호텔앤리조트 메리어트관 G층	"#흑돼지구이 #힐링 #음식
#향토음식 #식당 #흑돼지 #스테이크 #토마호크스테이크 #오겹살 #삼겹살"
1350	제주설심당 본점	제주특별자치도 제주시 서해안로 504	"#용담동 #디저트카페 #뷰맛집
#빙수 #음식 #카페"
1351	제주순풍해장국노형점	제주특별자치도 제주시 진군남4길 7-8	"#한라수목원 #공항근처 #해장국
#음식 #식당"
1352	제주스	제주특별자치도 제주시 동문로 4 1호	"#주스 #음료 #동문재래시장
#디저트 #한라봉주스 #감귤주스 #음식 #카페"
1353	제주시새우리 제주점	제주특별자치도 제주시 무근성7길 24	"#구제주 #새우요리 #관덕정
#음식 #식당"
1354	제주신화월드 윤경양식당	제주특별자치도 서귀포시 안덕면 신화역사로304번길 38	"#경양식 #돈까스 #오므라이스
#함박스테이크 #카레 #제주신화월드맛집 #음식 #식당"
1355	제주약수터 본점	제주특별자치도 서귀포시 중앙로 35	"#수제맥주 #풀드포크 #펍
#호프 #음식 #식당"
1356	제주약수터 올레시장점	제주특별자치도 서귀포시 중앙로48번길 10	"#호프 #펍 #수제맥주
#생맥주 #샘플러 #제주맥주맛집 #음식 #식당"
1357	제주에가면	제주특별자치도 제주시 탑동로 119	"#공항인근 #보말요리 #향토요리
#오니기리 #음식 #식당"
1358	제주오일장반점 제주신화월드점	제주특별자치도 서귀포시 안덕면 녹차분재로 217	"#제주신화월드맛집 #중식 #짜장면
#짬뽕 #푸드코트 #음식 #식당"
1359	제주올레섬	제주특별자치도 제주시 선덕로 12	"#오리백숙 #황칠전복오리백숙 #한식
#음식 #전복"
1360	제주와이너리	제주특별자치도 제주시 애월읍 용흥7길 23	"#술 #감귤주 #귤로만
#전통주 #제주감귤 #음식"
1361	제주와함께라면	제주특별자치도 제주시 애월읍 애월해안로 274	"#애월해안도로 #해물라면 #딱새우
#음식 #식당"
1362	제주웅담	제주특별자치도 제주시 한림읍 한림로5길 23	"#해물탕 #보말칼국수 #보말요리전문점
#음식 #해물파전 #보말 #죽 #닭칼국수 #칼국수"
1363	제주의봄	제주특별자치도 서귀포시 신북로 16	"#휴식/치유 #떡 #찹살떡
#인절미 #음식 #식당"
1364	제주인짬뽕	제주특별자치도 제주시 지석12길 14	"#삼양해수욕장 #짬뽕전문점 #별도봉
#음식 #식당"
1365	제주정	제주특별자치도 제주시 일주동로 320	"#한식 #갈비찜 #갈비탕
#왕갈비 #음식 #전복갈비탕"
1366	제주축협한우플라자	제주특별자치도 제주시 중앙로 415	"#소고기 #한우 #제주한우맛집
#음식 #식당"
1367	제주침시술소바	제주특별자치도 제주시 동광로 12	"#소바 #냉모밀 #일식
#음식 #유부초밥 #냉소바 #우동 #새우튀김"
1368	제주크랩잭	제주특별자치도 제주시 애월읍 애월해안로 765	"#크랩 #랍스터 #해산물
#클램차우더 #일몰 #애월맛집 #음식 #식당"
1369	제주통큰장어	제주특별자치도 제주시 청귤로3길 50	"#장어 #꼼장어 #제주시
#음식 #식당"
1370	제주판타스틱버거	제주특별자치도 서귀포시 표선면 토산중앙로15번길 6	"#수제버거 #커리크림 #흑돼지
#서귀포시 #음식 #식당"
1371	제주한치빵 우도점	제주특별자치도 제주시 우도면 우도해안길 802 (연평리) 제주한치빵 우도점	"#우도 #한치빵 #특산물
#음식 #빵 #모짜렐라치즈 #메밀 #한치"
1372	조가네갑오징어 신제주점	제주특별자치도 제주시 원노형남1길 45-1	"#갑오징어 #삼겹살불고기 #파전
#전골 #숙회 #음식 #갑오징어볶음 #해물파전 #해산물"
1373	조마루뼈다귀서귀포점	제주특별자치도 서귀포시 동홍동로 13	"#전복 #감자탕 #볶음밥
#뼈다귀탕 #음식"
1374	조아찌	제주특별자치도 제주시 테우해안로 160	"#카페 #핸드드립 #커피
#음식 #핸드드립커피 #딸기라떼 #과일주스"
1375	조은빵	제주특별자치도 제주시 인다3길 9	"#빵 #식빵 #베이커리
#제주빵집 #빵지순례 #음식 #카페"
1376	좀녀마을뚝배기	제주특별자치도 제주시 은남길 25	"#해물뚝배기 #순두부 #한식
#음식 #순두부찌개 #성게국"
1377	종달리엔 엄마식당	제주특별자치도 제주시 구좌읍 종달로7길 15	"#카레 #일본가정식 #음식
#스테이크덮밥 #덮밥 #가정식카레 #치킨가라아게"
1378	종달해녀의집	제주특별자치도 제주시 구좌읍 해맞이해안로 2276	"#종달 #해녀 #전복죽
#음식 #물회 #회덮밥 #회 #전복해물탕 #우럭매운탕 #오분작뚝배기 #전복뚝배기 #해물뚝배기 #식당"
1379	종이비행기	제주특별자치도 제주시 구좌읍 해맞이해안로 1446	"#카페 #음료 #커피
#음식 #아메리카노 #녹차라떼 #바닐라라떼 #카페라떼 #딸기라떼 #헤이즐넛라떼 #카푸치노 #카페모카 #젤라또 #아이스크림 #레몬에이드 #에이드 #자몽에이드 #핫도그"
1380	종이시계 카페	제주특별자치도 제주시 애월읍 애월해안로 899	"#카페 #커피 #맥주
#음식 #수제청 #수제청음료 #수제맥주 #디저트 #아메리카노 #카페라떼"
1381	죽성고을	제주특별자치도 제주시 한북로 176	"#시레기돌솥밥 #솥밥 #한식
#오등동맛집 #음식 #식당"
1382	준반점	제주특별자치도 제주시 조천읍 조함해안로 528	"#중식 #짬뽕 #깐풍육
#짜장면 #탕수육 #음식 #우동 #사천탕수육 #볶음밥 #잡채밥"
1383	중국집마씸	제주특별자치도 제주시 한경면 두신로 78	"#신창 #짬뽕 #중식
#중국집 #탕수육 #매생이 #굴 #제철음식 #음식 #식당"
1384	중문랜드프리미엄뷔페	제주특별자치도 서귀포시 소보리당로164번길 62	"#뷔페 #흑돼지 #향토뷔페
#음식"
1385	중문수원음식점	제주특별자치도 서귀포시 천제연로 83	"#흑돼지 #은갈치회 #오분작뚝배기
#음식 #갈치 #향토음식"
1386	중문신라원	제주특별자치도 서귀포시 천제연로 107	"#말사시미 #말육회 #말양념샤브샤브
#말고기 #흑돼지 #해물뚝배기 #향토음식 #음식"
1387	중문정	제주특별자치도 서귀포시 상예로 226	"#중문 #집밥 #고사리해장국
#음식 #식당 #제육볶음 #고등어 #고등어구이 #옥돔 #옥돔구이 #갈치 #갈치구이"
1388	중문해물라면오빠네	제주특별자치도 서귀포시 일주서로 962	"#중문 #해물라면 #전복
#고기라면 #라면 #문어 #보말 #미역 #음식 #식당 #보말칼국수"
1389	중화요리 사해방	제주특별자치도 서귀포시 천제연로 263	"#중화요리 #중식당 #짜장면
#탕수육 #흑돼지 #냉면 #두루치기 #음식 #중식"
1390	지꺼진밥상	제주특별자치도 제주시 어영길 45-6	"#고기국수 #딱새우파스타 #음식
#감바스 #돔베고기"
1391	지미스천연아이스크림	제주특별자치도 제주시 우도면 우도해안길 1132	"#우도땅콩아이스크림 #아이스크림 #우도맛집
#음식 #카페"
1392	지상에 별두개	제주시 애월읍 애월해안로 926	"#수제버거 #사이폰커피 #카페
#커피 #음식"
1393	지오아라	제주특별자치도 서귀포시 안덕면 사계로114번길 54-86	"#카페 #커피 #에이드
#음식 #디저트 #과일주스 #빵 #아메리카노"
1394	지중해그릴	제주특별자치도 제주시 관덕로15길 11-1(일도일동)	"#순두부찌개 #순두부 #한식
#음식"
1395	진돼지	제주특별자치도 제주시 은수길 65	"#한라수목원 #LED공원 #흑돼지
#음식 #식당"
1396	진미명가식당	제주특별자치도 서귀포시 안덕면 사계남로 167	"#화 #횟집 #다금바리
#지리 #음식 #해산물 #모듬회 #매운탕 #회덮밥"
1397	진부령 황태해장국	제주특별자치도 제주시 사장길 12	"#황태해장국 #황태구이 #음식
#해장국"
1398	진양해장국	제주특별자치도 제주시 지석10길 13	"#해장국 #곰탕 #수육
#내장탕 #아침식사 #로컬식당 #음식 #식당"
1399	진주식당	제주특별자치도 서귀포시 태평로 353	"#향토음식 #서귀포 #한정식
#음식 #식당"
1400	질그랭이센터	제주특별자치도 제주시 구좌읍 세평항로 46-9	"#겨울 #체험 #마을관광
#어트랙션"
1401	짜장면시키신분 마라점	제주특별자치도 서귀포시 대정읍 가파로 131	"#중식 #자장면 #짬뽕
#음식 #해물짬뽕 #탕수육"
1402	쫑이네해산물	제주특별자치도 서귀포시 성산읍 환해장성로 549	"#보말라면 #보말죽 #고등어구이
#옥돔구이 #해물라면 #음식 #라면"
1403	차귀놀	제주특별자치도 제주시 한경면 한경해안로 136	"#카페 #커피 #음료
#음식 #아메리카노 #카푸치노 #에스프레소 #카페라떼 #카페모카 #바닐라라떼 #브런치 #샌드위치"
1404	차귀도놀빛바다	제주특별자치도 제주시 한경면 노을해안로 1142 2층	"#커플 #친구 #부모
#사계절 #음식 #물회 #고등어회 #회덮밥 #초밥 #매운탕 #한치물회 #식당 #한치"
1405	차롱 해모루	제주특별자치도 서귀포시 남성중로 135	"#뷔페 #브런치 #카페
#커피 #음식"
1406	차마실	제주특별자치도 제주시 애월읍 하귀동남1길 32-15	"#찻집 #전통찻집 #가래떡구이
#대추차 #우전차 #보이차 #쌍화탕 #음식"
1407	차이나 하우스	제주특별자치도 제주시 노연로 12	"#부모 #커플 #친구
#휴식/힐링 #음식 #식당"
1408	착한집	제주특별자치도 제주시 우평로 29	"#갈치 #고등어 #옥돔
#갈비 #음식 #생선구이정식 #생선조림 #갈치조림 #고등어조림 #회 #갈치회 #고등어회 #전복버터구이 #전복 #해물뚝배기"
1409	참맛나김밥	제주특별자치도 제주시 한라대학로 31	"#신제주 #김밥 #열무국수
#음식 #식당"
1410	참솔식당	제주특별자치도 제주시 애월읍 유수암평화5길 21	"#향토음식 #한정식 #유수암
#음식 #식당"
1411	참이쁜돼지	제주특별자치도 서귀포시 천제연로232번길 16	"#흑돼지오겹살 #목살 #돼지고기
#대패삼겹살 #음식 #삼겹살 #흑돼지 #돼지구이 #흑돼지구이 #오겹살"
1412	창훈이네	제주특별자치도 서귀포시 칠십리로 77	"#정식 #고등어구이 #한식
#음식 #향토음식"
1413	창흥식당	제주특별자치도 제주시 조천읍 함덕16길 15	"#한식 #가정식 #흑돼지
#고등어 #음식 #정식 #백반 #두루치기 #청귤차 #에이드"
1414	채점석베이커리	제주특별자치도 서귀포시 신서로32번길 12	"#빵 #팡도르 #마늘빵
#음식 #마늘바게트 #디저트 #바게트 #밤식빵 #베이커리"
1415	채훈이네해장국	제주특별자치도 제주시 한경면 두신로 69	"#신창 #고사리육개장 #몸국
#음식 #식당 #해장국 #내장탕"
1416	책다방	제주시 구좌읍 월정1길 70-1	"#북카페 #음료 #카페
#음식 #아메리카노 #카푸치노 #에스프레소 #바닐라라떼 #카페라떼 #녹차라떼 #돌체라떼 #딸기라떼 #콜드브루 #커피 #주스 #과일주스"
1417	천금반점	제주특별자치도 제주시 북성로 7 1층	"#중식 #중화요리 #짜장면
#짬뽕 #탕수육 #음식 #식당"
1418	천제연토속음식점	제주특별자치도 서귀포시 천제연로 45	"#갈치 #옥돔 #고등어
#한식 #향토음식 #음식 #갈치조림 #제주갈치조림 #성게미역국 #성게비빔밥 #전복뚝배기 #전복물회 #전복죽"
1419	천지연해물전복뚝배기	제주특별자치도 서귀포시 남성중로 2-3	"#해물뚝배기 #생선구이 #조림
#활어회 #횟집 #음식 #회 #전복"
1420	천하대장군	제주특별자치도 제주시 진군4길 30	"#해장국 #김치찌개 #한식
#음식 #감자탕 #뼈다귀감자탕"
1421	청년다방 이도점	제주특별자치도 제주시 남광로2길 41-1	"#즉석떡볶이 #차돌떡볶이 #통큰오짱떡볶이
#음식 #카페"
1422	청담집	제주특별자치도 제주시 월랑로 83	"#설렁탕 #갈비탕 #꼬리곰탕
#도가니탕 #음식 #식당"
1423	청정고을식당	제주특별자치도 제주시 추자면 대서1길 6	"#추자굴비백반 #추자굴비정식 #추자음식점
#추자식당 #추자도 #음식 #생선구이정식 #매운탕 #굴비정식 #생선조림 #식당"
1424	청춘부부	제주특별자치도 서귀포시 대정읍 추사로38번길 181	"#대정 #다마스 #감귤
#치즈케이크 #포토존 #로스팅 #음식 #카페"
1425	청파식당횟집	제주특별자치도 제주시 구좌읍 세평항로 12	"#세화해수욕장 #구좌 #평대리
#고등어회 #음식 #식당"
1426	청해원	제주특별자치도 제주시 원노형남1길 44	"#보말국 #성게국 #갈치국
#한치물회 #자리물회 #고등어조림 #고등어구이 #갈치조림 #갈치구이 #음식 #옥돔구이 #해물찜 #해물탕 #해물뚝배기 #전복죽 #성게미역국 #제주갈치조림 #한치"
1427	체면	제주특별자치도 서귀포시 대정읍 인안성로 23-1	"#화로구이 #라멘 #탄탄멘
#음식 #한우구이 #리조또"
1428	초승달지대	제주특별자치도 서귀포시 대청로25번길 10-8	"#빵 #베이커리 #천연효모
#치아바타 #음식"
1429	촐리케이크	제주특별자치도 제주시 신설로2길 1-1	"#케이크 #수제청 #빵지순례
#음식 #카페 #빵 #베이커리"
1430	촵촵	제주특별자치도 제주시 신설로9길 8-1	"#일식 #돈까스 #우동
#나베 #음식 #어묵나베 #김치나베정식 #치즈돈까스 #김치우동 #치킨까스"
1431	추가네	제주특별자치도 제주시 서사로 176(오라일동)	"#추어탕 #미꾸라지튀김 #한식
#음식"
1432	추억의 집	제주특별자치도 제주시 연삼로 414-1(이도이동)	#고기국수 #순대국 #음식
1433	추자북경	제주특별자치도 제주시 추자면 신양서길 13-9	"#추자음식점 #추자중국음식 #추자식당
#추자도 #음식 #짜장면 #짬뽕 #탕수육 #식당 #중식"
1434	춘미향 식당	제주특별자치도 서귀포시 안덕면 산방로 382	"#돈목살 #보말미역국 #옥돔구이
#정식 #음식 #몸국 #흑돼지 #두루치기 #목살 #갈치조림 #제주갈치조림"
1435	춘심이네 2호점	제주특별자치도 제주시 1100로 3114	"#향토음식 #제주시 #한정식
#음식 #식당"
1436	춘심이네 본점	제주특별자치도 서귀포시 안덕면 창천중앙로24번길 16	"#제주맛집 #갈치구이 #갈치조림
#춘심이네 #음식 #식당"
1437	친구네 분식	제주특별자치도 서귀포시 대정읍 신영로 124-1	"#분식 #현미김밥 #매운멸치김밥
#떡볶이 #음식 #돈까스 #콩국수 #김밥 #식당"
