	가게	주소	테마
65	교래손칼국수	제주특별자치도 제주시 조천읍 비자림로 645	"#메밀야채전 #칼국수 #토종닭칼국수
#바지락칼국수 #음식 #보말칼국수 #닭칼국수 #닭개장칼국수"
66	동복리해녀촌	제주특별자치도 제주시 구좌읍 동복로 33	"#전복죽 #회국수 #성게국수
#음식 #물회 #한치물회 #전복물회 #문어물회 #소라물회 #고등어구이 #한치"
67	명당양과	제주시 원노형로 83	"#빵집 #베이커리 #디저트
#쑥찐빵 #우유식빵 #음식 #빵 #밤식빵 #수제마카롱 #생크림케익"
68	바당봉봉	제주 제주시 구좌읍 해맞이해안로 1170	"#커피 #음료 #카페
#음식 #빵 #디저트 #아메리카노 #딸기스무디 #스무디 #망고스무디"
69	복자씨연탄구이	제주특별자치도 서귀포시 성산읍 해맞이해안로 2764	"#근고기 #흑돼지 #김치찌개
#음식 #흑돼지구이"
70	사형제횟집	제주특별자치도 제주시 한림읍 한림상로 273	"#딱새우 #고등어회 #횟집
#음식 #회 #광어회"
71	아뜰리에 제주명월	제주특별자치도 서귀포시 안덕면 병악로 31	"#카페 #디저트 #티라미수
#음식 #아메리카노 #카페라떼 #빵 #딸기스무디 #자몽에이드"
72	양가형제	제주특별자치도 제주시 한경면 청수동8길 3	"#버거 #수제버거 #맥주
#음료 #음식 #햄버거 #치즈버거 #감자튀김 #어니언링"
73	어진이네횟집	제주특별자치도 서귀포시 보목포로 93	"#회 #횟집 #자리물회
#물회 #음식 #한치물회 #전복물회 #문어물회 #소라물회 #매운탕 #한치"
74	연미정	제주특별자치도 제주시 세평항로 14	"#전복구이 #전복죽 #전복가마솥밥
#전복회 #음식 #전복 #전복뚝배기"
75	웅스키친	제주특별자치도 제주시 대동길 17-1	"#스테이크 #치아바타 #샌드위치
#파스타 #음식 #함박스테이크 #크림파스타"
76	월정리에서브런치	제주특별자치도 제주시 구좌읍 월정3길 53-4	"#돔베고기샌드위치 #당감사 #카페
#브런치 #음식 #샌드위치 #햄버거"
77	톰톰카레	제주특별자치도 제주시 구좌읍 해맞이해안로 1112	"#카레 #야채카레 #콩카레
#반반카레 #음식"
78	해월정	제주특별자치도 제주시 구좌읍 해맞이해안로 2340	"#보말칼국수 #성게물회 #보말죽
#향토음식 #음식 #문어숙회 #해산물 #물회 #전복물회 #칼국수"
79	닐모리동동	제주특별자치도 제주시 서해안로 452	"#오징어튀김먹물파스타 #한라산빙수 #우도땅콩팬케이크
#지름떡팬케이크 #향토음식 #음식 #브런치 #스테이크 #케이크"
80	메종드쁘띠푸루	제주특별자치도 제주시 신설로7길 3	"#빵집 #베이커리 #파이
#타르트 #음식 #빵 #감바스 #파스타 #크림파스타 #샌드위치 #토스트"
81	목포고을	제주특별자치도 서귀포시 일주서로 968-5	"#목살 #오겹살 #열무국수
#김치찌개 #음식 #흑돼지 #흑돼지구이 #된장찌개"
82	바다속고등어쌈밥	제주특별자치도 제주시 애월읍 일주서로 7089	"#갈치조림 #옥돔구이 #해물뚝배기
#한치물회 #쌈밥 #음식 #고등어 #전복뚝배기 #성게미역국 #성게국 #한치"
83	바람벽에흰당나귀	제주특별자치도 제주시 구좌읍 동복로 11	"#카페 #음료 #주스
#말차빙수 #음식 #아메리카노 #카페라떼 #카페모카 #바닐라라떼 #카푸치노 #눈꽃빙수"
84	서광춘희	제주특별자치도 서귀포시 안덕면 화순서동로 367	"#꼬치커틀렛 #춘희면 #성게
#한식 #음식 #성게비빔밥 #새우튀김 #가츠동 #해물라면 #라면"
85	성읍칠십리식당	제주특별자치도 서귀포시 표선면 성읍정의현로 74	"#삼겹살 #초벌구이 #흑돼지
#음식 #흑돼지구이 #오겹살 #옥돔 #옥돔구이 #비빔밥"
86	수두리보말칼국수	제주특별자치도 서귀포시 천제연로 192	"#톳보말칼국수 #톳성게칼국수 #칼국수
#음식 #전복죽 #막걸리"
87	에스프레소 라운지	제주특별자치도 제주시 한라대학로 1 (노형동)	"#카페 #디저트 #베이커리카페
#음식 #아메리카노 #에그타르트 #카페라떼 #바닐라라떼 #에이드"
88	올레7돈	제주특별자치도 서귀포시 월평하원로 20	"#흑돼지 #연탄구이 #김치찌개
#된장찌개 #음식 #흑돼지구이 #대패삼겹살 #삼겹살 #오겹살 #목살 #돼지구이"
89	중앙식당	제주특별자치도 서귀포시 안덕면 화순로 108	"#성게보말국 #갈치국 #갈치구이
#한식 #음식 #해물뚝배기 #전복해물탕"
90	쪼끌락	제주특별자치도 제주시 구좌읍 김녕로21길 21	"#카페 #커피 #라떼
#음식 #아메리카노 #에스프레소 #카페라떼 #카푸치노 #바닐라라떼 #카라멜마끼아또 #녹차라떼 #딸기라떼 #곡물라떼 #헤이즐넛라떼 #디저트"
91	코코마마	제주특별자치도 서귀포시 성산읍 일출로 258-11	"#에이드 #파인애플볶음밥 #랍스터
#씨푸드 #음식 #과일주스 #아이스크림 #자몽에이드 #커피"
92	노라바	제주시 애월읍 구엄길 100	"#해물라면 #돌문어 #맥주
#음식 #도시락 #문어숙회 #라면"
93	독개물항	제주특별자치도 제주시 한림읍 한림로 478	"#오분자기 #해물뚝배기 #향토음식
#보말물회 #음식 #갈치조림 #제주갈치조림 #갈치구이 #제주갈치구이 #성게미역국 #전복죽 #보말죽 #전복뚝배기"
94	레드팬더	제주특별자치도 제주시 신대로18길 51	"#중식 #짬뽕 #짜장
#음식 #고기짬뽕 #짜장면 #사천탕수육 #볶음밥 #탕수육 #잡채밥"
95	마마롱	제주시 애월읍 평화로 2783	"#카페 #디저트 #커피
#에끌레어 #음식 #빵 #아메리카노 #에이드 #에스프레소"
96	만덕이네	제주특별자치도 서귀포시 표선면 서성일로 16	"#향토음식 #갈치조림 #두루치기
#접짝뼈국 #음식 #제주갈치조림 #갈치구이 #제주갈치구이 #고등어구이 #고등어 #옥돔구이"
97	만선식당	제주특별자치도 서귀포시 대정읍 하모항구로 44	"#횟집 #고등어회 #고등어조림
#한치회 #음식 #한치"
98	망고홀릭 제주본점	제주 제주시 삼무로5길 2	"#망고 #카페 #퓨전음식디저트
#신선로코코넛빙수 #망고홀릭디저트 #음식 #망고빙수 #망고스무디 #망고에이드 #망고주스 #망고요거트 #애플망고스무디"
99	스시호시카이	제주특별자치도 제주시 오남로 90	"#스시 #일식 #오마카세
#회 #초밥 #음식"
100	신설오름	제주특별자치도 제주시 고마로17길 2	"#몸국 #돔베고기 #한치회
#한치물회 #음식 #고등어구이 #고기국수 #소라물회 #물회 #소라 #한치"
101	신촌덕인당	제주특별자치도 제주시 조천읍 신북로 36	"#보리빵 #쑥빵 #팥보리빵
#음식 #빵"
102	연화키친	제주특별자치도 제주시 애월읍 상가로 51	"#오징어치즈떡볶이 #파스타 #리조또
#음식"
103	오라숲소리	제주특별자치도 제주시 오라로 80	"#매화한정식 #흑돼지떡갈비 #한식
#음식 #흑돼지 #숲 #샤브샤브 #정식"
104	와랑와랑카페	제주특별자치도 서귀포시 남원읍 위미중앙로300번길 28	"#카페 #영귤차 #영귤에이드
#감귤스무디 #찰떡구이 #음식 #콜드브루 #아인슈페너 #바닐라라떼 #카페라떼 #스무디 #밀크티"
105	제주미향	제주특별자치도 서귀포시 천제연로 99	"#통갈치구이 #회 #조림
#횟집 #한식 #음식 #갈치 #갈치구이 #갈치조림 #제주갈치조림 #제주갈치구이 #갈치국 #갈치회"
106	지금이순간	제주특별자치도 제주시 애월읍 애월로 15-1	"#카페 #드립커피 #수제티라미수
#음식 #아메리카노 #핸드드립커피 #티라미수 #카페라떼"
107	카이로스	제주특별자치도 제주시 애월읍 장유길 49-39	"#카페 #브런치 #오가닉카페
#유기농 #음식 #아메리카노 #카페라떼 #주스 #파스타 #파니니"
108	카페쉼표	제주특별자치도 제주시 한림읍 한림로 359	"#커피 #빙수 #음식
#아메리카노 #카페라떼 #바닐라라떼 #카푸치노 #카페모카"
109	흑돈가	제주특별자치도 제주시 한라대학로 11	"#근고기 #흑돼지 #멜젓
#숯불구이 #음식"
110	흑돼지구이집 하영	제주특별자치도 서귀포시 천제연로 101	"#흑돼지 #양념갈비 #전복어
#한식 #음식 #향토음식 #전복 #전복돌솥밥 #전복뚝배기"
111	기억나는집	제주특별자치도 서귀포시 중앙로 6	"#해물탕 #전복 #갈치조림
#음식 #전복해물탕 #제주갈치조림 #옥돔구이 #고등어구이"
112	김희선몸국	제주특별자치도 제주시 어영길 45-6	"#몸국 #향토음식 #한식
#음식 #고사리 #해장국 #성게미역국 #고등어구이"
113	낭뜰에쉼팡	제주특별자치도 제주시 조천읍 남조로 2343	"#낭뜰정식 #한식 #비빔밥
#음식 #들깨수제비 #우동 #고등어구이"
114	더파크뷰	제주특별자치도 서귀포시 중문관광로72번길 75	"#뷔페 #호텔뷔페 #브런치뷔페
#음식 #어린이 #호텔 #테마공원 #브런치 #디저트 #파스타 #크림파스타 #미트볼파스타"
115	랜딩 다이닝	제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 랜딩관 제주신화월드 호텔앤리조트 G층	"#뷔페 #양식 #랜딩다이닝
#음식"
116	리듬	제주특별자치도 제주시 무근성7길 11	"#카페 #라떼 #밀크티
#에이드 #쌀다방라떼 #음식 #디저트 #빵 #아메리카노"
117	북촌에가면	제주특별자치도 제주시 조천읍 북촌5길 6	"#카페 #커피 #디저트
#정원 #음식 #청귤차 #카페라떼 #아메리카노 #녹차라떼 #아포가토"
118	사계바다	제주특별자치도 서귀포시 안덕면 형제해안로 26	"#갈치 #전복 #오징어
#횟집 #음식 #갈치구이 #갈치조림 #제주갈치조림 #제주갈치구이 #전복죽 #옥돔구이 #회"
